candidate,role,n_paired_seeds,candidate_args_json,hypothesis,accuracy_delta_mean,accuracy_delta_std,accuracy_good_direction_n,macro_f1_delta_mean,macro_f1_delta_std,macro_f1_good_direction_n,ece_delta_mean,ece_delta_std,ece_good_direction_n,vtvf_cross_errors_delta_mean,vtvf_cross_errors_delta_std,vtvf_cross_errors_good_direction_n,total_errors_delta_mean,total_errors_delta_std,total_errors_good_direction_n,error_migration_penalty_delta_mean,error_migration_penalty_delta_std,error_migration_penalty_good_direction_n,mean_good_objective_count,is_pareto,passes_basic_guard,selected_for_full_validation
proto_center_only,mechanism_verified_component,3,"{""prototype_center_weight"": ""0.02""}",Single-component mechanism verified by the 33-run ablation: prototype center compactness tests whether within-class embedding compactness drives the prototype benefit.,0.0414780903879893,0.0244750078314153,3,0.0470703946326649,0.0162598030201373,3,-0.0243635263752552,0.0140163816871711,3,-20.666666666666668,3.055050463303893,3,-178.0,100.01499887516871,3,-109.33333333333331,57.927397087503714,3,6,True,True,True
proto_center_margin,mechanism_verified_component,3,"{""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Prototype center plus VT/VF margin component model from the mechanism-targeted ablation.,0.0371489897233053,0.0215155090472962,3,0.044224435381329,0.0081213135966482,3,-0.0276809335902147,0.0221789514700336,3,-15.333333333333334,10.263202878893768,3,-160.33333333333334,90.27919657004782,3,-94.0,49.06882920959089,3,6,True,True,True
boundary100_center,mechanism_derived_sensitivity,3,"{""boundary_ce_weight"": ""1.0"", ""prototype_center_weight"": ""0.02""}",Higher boundary-dose sensitivity check for boundary plus center; tests whether stronger boundary weighting reintroduces migration or VT/VF trade-offs.,0.0377280339420291,0.0373372995899675,2,0.0414146593080061,0.0436919728620228,2,-0.030586034344691,0.0329656258794946,2,-4.0,19.519221295943137,2,-159.0,161.9845671661347,2,-80.33333333333333,102.34419052068044,2,6,True,True,True
boundary075_margin,mechanism_derived_component,3,"{""boundary_ce_weight"": ""0.75"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}","Component test for whether the VT/VF prototype margin adds value when paired with boundary weighting, given that proto_margin_only was weak in the 33-run ablation.",0.0266031908080459,0.019057540272317,3,0.0226174764340519,0.0086630686590614,3,-0.0095794245821118,0.0155497923237436,2,-23.666666666666668,28.00595174839329,3,-114.33333333333331,81.92883090422646,3,-88.16666666666667,70.32839635121317,3,6,True,True,True
boundary075_prototype,new_causal_pareto_recombination,3,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Combine boundary weighting with prototype geometry using a slightly lighter boundary dose.,0.0317465674096423,0.0220373245987189,3,0.042945408060617,0.0369991219311197,3,-0.0183121441325381,0.0122381570987184,3,-20.33333333333333,21.82506204649447,3,-135.0,82.28608630868283,3,-85.0,25.37222891273055,3,6,False,True,False
boundary075_center,mechanism_derived_candidate,3,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02""}","Mechanism-derived candidate from the 33-run ablation: combine the stable boundary dose with prototype compactness only, because proto_center_only was strong while proto_margin_only was weak as a standalone mechanism.",0.0261852049533907,0.0100353721031377,3,0.0309213042723805,0.016455566729374,3,-0.0133241115132578,0.0129465348343551,3,-18.0,22.516660498395403,3,-114.33333333333331,41.25934237640408,3,-70.83333333333333,18.46844155128779,3,6,False,True,False
boundary075,mechanism_verified_component,3,"{""boundary_ce_weight"": ""0.75""}",Boundary-risk component verified by the 33-run ablation; tests the lighter 0.75 dose before combining with representation constraints.,0.0318068107175482,0.0265275529705101,3,0.0230089576147369,0.0091574685175852,3,-0.0152550208460851,0.0248376249275383,2,-2.6666666666666665,8.386497083606082,2,-137.33333333333334,116.57329597010344,3,-77.5,53.33619783974107,3,6,False,True,False
boundary050_center,mechanism_derived_sensitivity,3,"{""boundary_ce_weight"": ""0.50"", ""prototype_center_weight"": ""0.02""}",Lower boundary-dose sensitivity check for the mechanism-derived boundary plus center model.,0.0179217467507267,0.0312536122297098,2,0.0190509772898893,0.0509463221348718,2,-0.0083656392574883,0.0154499403218567,2,-13.666666666666666,8.020806277010644,3,-74.33333333333333,127.25695789752848,2,-55.333333333333336,50.97630168356011,3,6,False,True,False
proto_margin_only,mechanism_verified_component,3,"{""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Single-component mechanism verified by the 33-run ablation: VT/VF prototype margin tests whether explicit class-center separation is sufficient on its own.,0.0098793363499245,0.0171115125031314,3,0.0019320287266484,0.0033463719162376,3,-0.0070567707535368,0.0122226854824919,3,0.0,0.0,3,-43.66666666666666,75.63288526384098,3,-26.83333333333333,46.47669666976488,3,6,False,True,False
boundary075_contrastive,mechanism_derived_candidate,3,"{""boundary_ce_weight"": ""0.75"", ""contrastive_boundary_anchor_weight"": ""2.0"", ""contrastive_vtvf_negative_weight"": ""2.0"", ""contrastive_weight"": ""0.02""}",Mechanism-derived candidate from the strong contrastive_vtvf_light result; tests whether boundary weighting combines better with contrastive local-purity control than prototype plus contrastive did.,0.0219286317919499,0.0212989841267694,3,0.008803845715199,0.0254016265469641,2,-0.0056917875412916,0.0169662751803472,2,14.333333333333334,21.197484127446195,1,-91.33333333333331,85.64072240081428,3,-44.833333333333336,49.09259957807626,2,5,False,False,False
boundary075_center_calibrated,mechanism_derived_candidate,3,"{""anti_confident_risk_weight"": ""0.02"", ""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""risk_entropy_weight"": ""0.05""}",Calibration add-on for the boundary plus center model; tests whether lightweight entropy and anti-confident-risk terms improve ECE without sacrificing VT/VF safety outcomes.,0.0149185689624246,0.0109426832366175,3,0.0054675490418835,0.0041859328576846,3,-0.0139102484334724,0.0185026458913871,2,3.6666666666666665,6.658328118479393,1,-64.33333333333333,47.50087718488295,3,-33.666666666666664,19.76318125538835,3,5,False,False,False
