seed,metric,mean_difference,ci95_low,ci95_high,probability_improvement
42,pro_minus_baseline_accuracy,-0.016469720586144026,-0.04665519405806547,0.005972478274686436,0.094
42,pro_minus_baseline_macro_f1,-0.04711188477750591,-0.10611849924853968,0.017534461511506182,0.08
42,pro_minus_baseline_error_rate,0.016469720586144033,-0.005972478274686407,0.04665519405806547,0.094
42,pro_minus_baseline_vtvf_error_rate,0.02099345581416815,-0.0014754094988934689,0.05107791841732067,0.04
43,pro_minus_baseline_accuracy,-0.0024288043741232464,-0.027520650051793417,0.0180750452295577,0.438
43,pro_minus_baseline_macro_f1,0.027892652943783618,-0.04630723462627125,0.08671341152826477,0.83
43,pro_minus_baseline_error_rate,0.0024288043741232434,-0.018075045229557652,0.0275206500517934,0.438
43,pro_minus_baseline_vtvf_error_rate,-0.00710298358105257,-0.018426589268370826,0.001984103087044264,0.918
44,pro_minus_baseline_accuracy,-0.0643326211849558,-0.2069803699881184,0.005664233733148672,0.15
44,pro_minus_baseline_macro_f1,-0.07423158411894387,-0.19881997187450404,0.03994026365772143,0.214
44,pro_minus_baseline_error_rate,0.0643326211849558,-0.0056642337331486705,0.20698036998811836,0.15
44,pro_minus_baseline_vtvf_error_rate,-0.0008088435083337178,-0.004377176981052759,0.0032281306074461013,0.654
