version,review_burden,vtvf_error_captured,ventricular_error_captured,all_error_captured,auto_error_rate,review_error_enrichment
CNN-10,0.1,0.7292817679558011,0.7111111111111111,0.5447154471544715,0.038647342995169,5.447154471544716
CNN-10,0.2,0.9171270718232044,0.9155555555555556,0.7344173441734417,0.0253623188405797,3.6720867208672088
CNN-10,0.3,0.9834254143646408,0.9866666666666668,0.8590785907859079,0.015380065069506,2.863595302619693
TCN-20,0.1,0.8201058201058201,0.7450980392156863,0.52994555353902,0.0595813204508856,5.299455535390199
TCN-20,0.2,0.9365079365079364,0.9215686274509804,0.7985480943738656,0.0287267080745341,3.992740471869329
TCN-20,0.3,0.9788359788359788,0.976470588235294,0.8929219600725953,0.0174504584442472,2.9764065335753176
ResNet1D-12,0.1,0.3834586466165413,0.4285714285714285,0.3917808219178082,0.0510697032436162,3.9178082191780823
ResNet1D-12,0.2,0.7142857142857143,0.7689969604863222,0.7315068493150685,0.0253623188405797,3.657534246575343
ResNet1D-12,0.3,0.9135338345864662,0.9300911854103344,0.9287671232876712,0.007690032534753,3.095890410958904
RegularityFusion-12,0.1,0.75,0.6926070038910506,0.4740740740740741,0.048999309868875,4.7407407407407405
RegularityFusion-12,0.2,0.965,0.8988326848249028,0.6839506172839506,0.0331262939958592,3.4197530864197527
RegularityFusion-12,0.3,1.0,1.0,0.8790123456790123,0.0144927536231884,2.930041152263374
